anno,geometry,accident_count
2018,POINT (664526.7646073094 5099958.903144246),1
2018,POINT (664000.0874243716 5105304.983879289),1
2018,POINT (665102.5635124481 5102635.027714729),1
2018,POINT (663773.4967372242 5104791.590087537),1
2018,POINT (663069.2911846202 5111120.417738617),1
2018,POINT (660216.9453990597 5093376.258065851),1
2018,POINT (663531.8448933364 5106443.492253867),1
2018,POINT (663433.0232844776 5103254.139054675),1
2018,POINT (664406.3160118785 5103520.254328377),1
2018,POINT (664374.241976761 5103028.792642331),1
2018,POINT (657601.8408052389 5104733.591505446),1
2018,POINT (663788.5770436429 5101168.741859447),1
2018,POINT (663662.9611665308 5106094.589299964),1
2018,POINT (662401.2189813278 5109302.51904253),1
2018,POINT (659448.1024105755 5103950.760672629),1
2018,POINT (664226.3839564541 5103952.55933126),1
2018,POINT (663330.1678926905 5100717.838258165),1
2018,POINT (663796.5146939832 5105707.404780601),1
2018,POINT (659449.9688958011 5103951.0717535),1
2018,POINT (662984.6471566388 5105728.112044086),1
2018,POINT (663787.3602302775 5105750.301160821),1
2018,POINT (664706.7255517505 5102377.488906122),1
2018,POINT (664735.5984654743 5103646.511974225),1
2018,POINT (663584.2844457448 5106248.995956697),1
2018,POINT (663596.9256290742 5104398.246053047),1
2018,POINT (662790.454022951 5108840.509478377),1
2018,POINT (664142.4433981336 5104679.373230949),1
2018,POINT (667591.0845135485 5105452.605909396),1
2018,POINT (662926.8523472185 5106369.537482274),1
2018,POINT (663621.3033333882 5103942.18249993),1
2018,POINT (664270.5174816 5104192.384437419),1
2018,POINT (663774.28533437 5101179.205723172),1
2018,POINT (664861.6063141524 5103491.6317709945),1
2018,POINT (663287.5725523859 5104671.368505964),1
2018,POINT (663390.0162037933 5105170.7208826225),1
2018,POINT (663214.5369891071 5105582.843902067),1
2018,POINT (665551.5866544291 5101132.4168702),1
2018,POINT (663994.3807007476 5102089.085504604),1
2018,POINT (663593.5810561401 5105301.606663779),1
2018,POINT (664728.2852791089 5103833.639973531),1
2018,POINT (664442.7668295971 5102911.53483096),1
2018,POINT (662875.0594497534 5107862.866780799),1
2018,POINT (663544.0299374702 5106378.161752297),1
2018,POINT (664183.8646212445 5104108.553700806),1
2018,POINT (664924.6801343776 5103633.1828950215),1
2018,POINT (663420.9308468151 5101681.557484899),1
