osmid,y,x,street_count,highway,ref,geometry,lts,message
6367407172,44.5070826,11.3046989,4,crossing,,POINT (11.3046989 44.5070826),2.0,Node LTS is max intersecting LTS
6367435951,44.503242,11.4041055,3,,,POINT (11.4041055 44.503242),3.0,Node LTS is max intersecting LTS
6367435952,44.5033025,11.4039025,4,,,POINT (11.4039025 44.5033025),,Node not found in edges
6367435954,44.5033945,11.4034499,3,,,POINT (11.4034499 44.5033945),,Node not found in edges
6367435958,44.5040891,11.4040657,1,,,POINT (11.4040657 44.5040891),,Node not found in edges
6367435972,44.5028211,11.4038361,3,,,POINT (11.4038361 44.5028211),3.0,Node LTS is max intersecting LTS
6367435973,44.502877,11.4038681,3,,,POINT (11.4038681 44.502877),3.0,Node LTS is max intersecting LTS
6367435978,44.5038546,11.4044791,3,,,POINT (11.4044791 44.5038546),3.0,Node LTS is max intersecting LTS
6367435980,44.5039267,11.4042856,1,,,POINT (11.4042856 44.5039267),,Node not found in edges
6367435981,44.50482,11.4050636,3,,,POINT (11.4050636 44.50482),3.0,Node LTS is max intersecting LTS
6367435982,44.5047546,11.4052682,4,,,POINT (11.4052682 44.5047546),,Node not found in edges
6367435983,44.5046837,11.4052295,3,,,POINT (11.4052295 44.5046837),,Node not found in edges
6367436304,44.5045794,11.4055719,3,,,POINT (11.4055719 44.5045794),,Node not found in edges
6367436305,44.5045195,11.4051303,1,,,POINT (11.4051303 44.5045195),,Node not found in edges
6367436306,44.5037914,11.4046702,3,,,POINT (11.4046702 44.5037914),,Node not found in edges
6367436313,44.5036023,11.4064052,1,,,POINT (11.4064052 44.5036023),,Node not found in edges
6367436321,44.5032263,11.4056137,3,,,POINT (11.4056137 44.5032263),,Node not found in edges
6367436322,44.5030688,11.4061373,1,,,POINT (11.4061373 44.5030688),,Node not found in edges
6367436323,44.5037485,11.4059409,3,,,POINT (11.4059409 44.5037485),,Node not found in edges
6367436324,44.5039938,11.405138,3,,,POINT (11.405138 44.5039938),,Node not found in edges
6367436325,44.5034846,11.4048147,3,,,POINT (11.4048147 44.5034846),,Node not found in edges
6367436331,44.5042866,11.407026,3,,,POINT (11.407026 44.5042866),,Node not found in edges
6367436333,44.5046053,11.4072155,1,,,POINT (11.4072155 44.5046053),,Node not found in edges
6367436334,44.5042426,11.4071643,3,,,POINT (11.4071643 44.5042426),,Node not found in edges
