node,coordinates,degree_centrality,closeness_centrality,betweenness_centrality
11255383851,"(663080.8903365324, 5111112.3315550275)",4,5.3553709698738125e-05,0.0020099802547176586
3126746351,"(663106.9021500576, 5111072.740598349)",4,5.32270407281996e-05,2.430911540939351e-05
269193745,"(664494.6868209079, 5102769.037824224)",4,0.0001030688355405518,0.006847686809015264
1435760441,"(664456.7236841017, 5102736.190701627)",4,0.00010224586767109235,0.006808623200219164
1299015534,"(664513.4570196446, 5102789.886540631)",8,0.00010354182013556682,0.009261458033236181
1435760426,"(664412.5129762546, 5102674.113212676)",4,0.00010108763065615707,0.006772838115982426
9016777837,"(664105.7739389758, 5102098.58357263)",6,9.573786638341852e-05,0.009988898512540431
3045394033,"(664322.6432020025, 5102489.024913926)",4,9.859820891516015e-05,0.006660500502867211
1555876878,"(664102.8333544265, 5102099.995017698)",6,9.574398504797805e-05,0.01626539701169669
1555876859,"(664128.1166473156, 5102087.783099267)",8,9.560922631414765e-05,0.004155243262987752
1635214887,"(664367.6109529163, 5102613.829932328)",6,0.000100091215097802,0.0067240250315961855
269196194,"(662397.9302839413, 5105847.048829321)",6,7.311610636689157e-05,5.775822257584671e-05
1828007978,"(662279.0485472186, 5106002.25599247)",6,7.414937769657184e-05,5.98291081648285e-05
7382711075,"(662691.6511572683, 5105621.275667341)",2,6.948355453353838e-05,0.0
1150135423,"(662468.8023618078, 5105924.904677904)",6,7.417288839034037e-05,0.0003460780617105417
3596118633,"(662213.5715327994, 5106094.821933335)",4,7.303244305574663e-05,1.3986407812674633e-05
1150135316,"(662456.8614137584, 5106069.627862137)",6,7.61403126312832e-05,0.0007254647547598376
269196299,"(661711.2612095517, 5107288.352226382)",6,6.432215264255409e-05,0.0005263062829091815
8553924059,"(661718.1378709484, 5107273.045448444)",4,6.442882454906775e-05,0.0005601541601671673
8553924068,"(661176.8821220242, 5109156.276870403)",4,5.492642129439227e-05,0.0004483557929711841
2894414956,"(661977.4045407666, 5106842.970288001)",2,6.015285893312401e-05,0.0
3596118634,"(662143.655885532, 5106213.488376825)",6,7.3236546253693e-05,0.0006017757884708824
269196351,"(661073.8616560571, 5109607.1104705585)",4,5.3521716343871216e-05,0.00042292966815766803
1256313532,"(661075.8026873036, 5109620.0586210005)",6,5.349164876448721e-05,0.0004006529207715969
1255184504,"(661151.0163347495, 5109712.746844495)",6,5.322146880973681e-05,0.00024742324736103924
1255184492,"(661108.0537014846, 5109659.118531183)",6,5.33773387263711e-05,0.00039218811928315493
270724068,"(664407.1968645076, 5100158.069441066)",5,7.393617333053476e-05,0.0041588050049416675
11271601455,"(664406.980735928, 5100167.903462663)",6,7.393787515567373e-05,0.004146964252110137
1272479100,"(664232.663659514, 5100192.592713675)",5,7.23309133229158e-05,0.001189372581300793
270724070,"(664397.8153962826, 5100012.912738193)",5,7.39536814540945e-05,0.0037979565896703246
6368817775,"(664399.3836974386, 5100410.359943677)",6,7.534180473516793e-05,0.004206929304624352
2316499427,"(664401.0979869337, 5100164.333031084)",6,7.386556525522087e-05,9.867747174106683e-05
2245129458,"(664231.839954952, 5100204.022688249)",4,7.228753036028859e-05,0.0011429566489420612
6368858826,"(664405.6489686426, 5099975.908589473)",6,7.396730202391279e-05,0.0037340446195456
9024453023,"(664417.8503439988, 5099870.164790097)",6,7.297110607451834e-05,0.002599715905311244
6368858820,"(664418.705205933, 5099991.856336088)",4,7.403315812240185e-05,0.001233060563715177
270724159,"(664358.8555943813, 5099445.123503613)",6,6.931563060650221e-05,8.962584381110811e-05
7326471205,"(664647.5803952714, 5099491.7503441)",4,7.036913249253927e-05,8.663280238545718e-05
6525449270,"(664390.6854819206, 5097919.375213572)",6,5.9288806187228485e-05,0.0025161577109610697
6525449266,"(664354.0507589816, 5099473.102564122)",6,6.954131744254922e-05,0.0025102010827188015
3561032115,"(664653.4914851005, 5099491.963975866)",6,7.041896506010185e-05,0.0010983691680825725
312467415,"(664393.6564868146, 5097814.408193557)",6,5.872147270815591e-05,0.0024814783074326723
5969144695,"(664427.3073879392, 5102337.752721443)",4,3.345038832603893e-06,7.250365300592714e-08
3045418888,"(664442.1291792558, 5102353.470066841)",4,3.075642814576839e-06,6.79721746930567e-08
270745918,"(664441.6275980594, 5102359.783063509)",6,3.0177295503956865e-06,5.89092180673158e-08
6205017044,"(664409.9291446632, 5102361.793406576)",2,2.4491358034662513e-06,0.0
270745333,"(664449.4650018788, 5102371.811453872)",2,2.744654047630105e-06,0.0
275607088,"(666443.5847601914, 5103255.307092536)",6,7.781973223840313e-05,0.0012231049058618007
